,Date,sentiment_value,yesterday_sentiment,Open,High,Low,Close,Volume,avgprice,yvalue
62,4/6/2015,4.918276644,6.493174603,31.1175,31.877501,31.0825,31.8375,148776000,31.4800005,0.2612505
63,4/7/2015,3.238419913,4.918276644,31.91,32.029999,31.495001,31.502501,140049200,31.7625,0.2824995
64,4/8/2015,6.912665945,3.238419913,31.4625,31.6,31.2425,31.4,149316800,31.42125,-0.34125
65,4/9/2015,6.34512987,6.912665945,31.4625,31.645,31.165001,31.639999,129936000,31.4050005,-0.0162495
66,4/10/2015,5.326458033,6.34512987,31.487499,31.8025,31.315001,31.775,160752000,31.5587505,0.15375
67,4/13/2015,2.441415945,5.326458033,32.092499,32.142502,31.6525,31.7125,145460400,31.897501,0.3387505
68,4/14/2015,4.462689394,2.441415945,31.75,31.8225,31.477501,31.575001,102098400,31.6500005,-0.2475005
69,4/15/2015,4.470253968,4.462689394,31.602501,31.782499,31.502501,31.695,115881600,31.6425,-0.0075005
70,4/16/2015,5.659729437,4.470253968,31.57,31.775,31.5275,31.5425,113476000,31.65125,0.00875
71,4/17/2015,2.891268939,5.659729437,31.387501,31.535,31.115,31.1875,207828000,31.325,-0.32625
72,4/20/2015,3.758452381,2.891268939,31.3925,32.029999,31.2925,31.9,188217200,31.6612495,0.3362495
73,4/21/2015,4.300757576,3.758452381,32.025002,32.049999,31.6675,31.727501,129740400,31.8587495,0.1975
74,4/22/2015,2.710494228,4.300757576,31.747499,32.217499,31.58,32.154999,150618000,31.8987495,0.04
75,4/23/2015,5.821176046,2.710494228,32.075001,32.605,32.035,32.4175,183083600,32.32,0.4212505
76,4/24/2015,6.98046176,5.821176046,32.622501,32.657501,32.307499,32.57,178103600,32.4825,0.1625
77,4/27/2015,3.403920154,6.98046176,33.077499,33.282501,32.787498,33.162498,387816800,33.0349995,0.5524995
78,4/28/2015,3.428421717,3.403920154,33.615002,33.634998,32.392502,32.639999,475696000,33.01375,-0.0212495
79,4/29/2015,6.064878788,3.428421717,32.540001,32.897499,32.075001,32.16,253544400,32.48625,-0.5275
80,4/30/2015,4.491077441,6.064878788,32.16,32.16,31.145,31.2875,332781600,31.6525,-0.83375
81,5/1/2015,5.528470118,4.491077441,31.525,32.532501,31.325001,32.237499,234050400,31.928751,0.276251
82,5/4/2015,3.812608225,5.528470118,32.375,32.642502,32.064999,32.174999,203953200,32.3537505,0.4249995
83,5/5/2015,3.910046898,3.812608225,32.037498,32.112499,31.445,31.450001,197085600,31.7787495,-0.575001
84,5/6/2015,6.468971861,3.910046898,31.639999,31.6875,30.84,31.252501,288564000,31.26375,-0.5149995
85,5/7/2015,4.679821429,6.468971861,31.192499,31.52,31.004999,31.315001,175763600,31.2624995,-0.0012505
